公司代碼,工作代碼,工作名稱,工資待遇,工資待遇(最低),工資待遇(最高),工作性質,工作敘述,需求人數,經驗要求,學歷要求,科系要求,語文條件,語言能力,擅長工具,工作技能,其他條件,應徵人數,經度,緯度
wgyi22g,5uwqy,機器學習工程師 ( Machine Learning Engineer ),"月薪35,000~60,000元",35000,60000,演算法開發工程師/軟體設計工程師/韌體設計工程師,1. Linux / Bash 編程。/2. 針對現有模型或系統提出相對優化的方法。/3. 應用機器學習演算法於語音訊號/自然語言的分析。/4. 開發神經網路的預測模型。/5. 機器學習演算法的IC Porting。,不限,不拘,大學以上,資訊工程相關/電機電子工程相關/其他數學及電算機科學相關,英文,聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,C/C++/Python,,"Nice to have: 1. Familiar with speech signal processing, speech recognition. 2. Familiar with probabilistic graphical models. 3. Familiar with CNN, LSTM, Attention.",11~30人應徵,121.5482871,24.9727925
1a2x6bl8e6,6yqe1,【ML】Machine Learning Engineer / 機器學習工程師,"月薪55,000~142,000元",55000,142000,軟體設計工程師/演算法開發工程師/統計學研究員,"‧ Perform feature engineering, building and optimizing classifiers using machine learning techniques. /‧ Data mining using state-of-the-art methods. /‧ Design and implement software systems and tools for internal process automation based on data mining and machine learning techniques. /‧ Design, implement, and operate data analytics platforms for business intelligence analysis. /‧ Provide data insights and develop data intelligence solutions/reports for business decisions. /‧ Work with other teams to assist with data-related technical issues and support their data infrastructure needs. /‧ Evaluate and identify the use of new or existing software products and technologies. /‧ Perform other duties as necessary. ",1~2人,1年以上,大學、碩士,,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,,,"【MUST TO HAVE】  ‧ Good experience with statistics skills, such as regression and classification.  ‧ Familiar with machine learning algorithms and techniques, such as k-NN, Naive Bayes, and SVM.  ‧ Familiar with deep learning algorithms and techniques, such as CNN, RNN, and LSTM.  ‧ Experience in reinforcement learning, time series, and generative models.  ‧ Good experience with data science toolkits, such as R, Python, Scikit-learn, Keras, and TensorFlow.  ‧ Good knowledge of SQL databases and database query languages.  ‧ Good experience with data cleaning, visualization, and reporting.   【NICE TO HAVE】  ‧ Good skills in scripting and programming will be appreciated.  ‧ Experience with processing large, multi-dimensional datasets is a plus.  ‧ Experience with NoSQL is a plus. ",11~30人應徵,121.5756608,25.074163
cttnq60,71393,機器學習技術主管 Machine Learning Technical Lead,待遇面議,0,0,軟體專案主管/軟體設計工程師/演算法開發工程師,"- Design, develop, and modify machine learning algorithms in real-time products. 
- Responsible for machine learning architecture design.
- Analyst data to predict and measure outcome and consequences of the model.
- Analyse user needs and software requirements to determine the feasibility of design within time and cost constraints.
- Supervise member's technical performances.",1人,3年以上,碩士以上,數學及電算機科學學科類/工程學科類/商業及管理學科類,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Git/C#/Java/Python,Machine Learning,"- Master degree or PhD Degree in STEM. - 5+ years of experiences in software industry - 3+ years of experiences in the machine learning algorithm - Experiences in real-time product/massive data processing - Solid experience with machine learning technique, such as TensorFlow, PyTorch, etc - Leadership experience will be a plus",0~5人應徵,121.5612058,25.0344396
1a2x6bl7y5,6yd49,ML / Data Engineer 機器學習與資料工程師,待遇面議,0,0,軟體設計工程師/演算法開發工程師/電腦系統分析師,"Data / ML talent are working with an incredibly innovative start-up, who have/developed AI solutions for different industries, are looking for Data / ML Engineer/to play an integral part with US AI and Data team. You'll be joining the development/of a robust platform and building and maintaining the data infrastructure, apply/ML/DL algorithms for various solutions that creates a platform and gives power to/Data Science, Machine Learning, Product, Marketing & Sales - this really is an/integral role in the business.//【What you'll do】 //- Implement Data Infrastructure/- Onsite visit (domestic and oversea) customers (large domestic or international/finance institute) to analyze their data for solution /- Developing data tools that support self-service data pipeline management (ETL)/- Apply graph analytics for extraction complicated implicit features/- Research and build mathematical / ML models to predict/- Work with software architect and developers to deliver solution//【Minimum Qualifications】 //- Entrepreneur spirit and autonomous /- Skillful in Python script /- Experience with scientific, NLP, or image analysis libraries (e.g. NumPY, SciPY,/Pandas, Scikit, NLTK, spaCY, OpenCV, Pillow, itk) /- Knowledge of graph database, graph analytics, and graph theory and algorithms /- Familiar with machine learning and deep learning algorithms, models, and training/tools like Tensorflow/- Deep and solid background of statistics and probability/- 1+ years of machine learning experience – preferably in real word problems/- Experience with feature engineering of graph analytics and various sources of/raw data /- Proven success in communicating with users to understand requirements, explain/data modeling decisions and data engineering strategy /- Jupyter and pip development and maintenance /- Experience in ETL or Big Data analysis for data aggregation, cleanness, and/normalization for features extraction /- 英語讀寫能力 /- 熟悉一種關聯式資料庫以上: Oracle, MS SQL server, MySQL/MariaDB, PostgreSQL //【Plus】 //- Dealt with data in BFSI (Bank/Finance Service/Insurance), medical industry before /- Experience working closely with Engineering, Product, and Analytics/Data Science/teams /- Experience in other object oriented programming like C++, Java, go with OOD /- Experience with modern ETL tools /- Experience with modern DWH environments /- Masters or PhD in computer science, mathematics, statistics, economics, or other/quantitative field //【 Others】 //- Team player and collaboration /- Analytical and detail oriented /- Attitude of can do and solve problem independently",1~2人,2年以上,大學以上,,英文,聽 /精通、說 /精通、讀 /精通、寫 /精通,,,,11~30人應徵,121.5580009,25.0456166
1a2x6bkynt,70c95,機器學習演算法工程師 Machine Learning Algorithm Engineer,待遇面議,0,0,演算法開發工程師/軟體設計工程師/其他資訊專業人員,"Job Description
1.  設計和建構基於 Artificial Intelligence (AI, 人工智慧) / Machine Learning (ML, 機器學習) / Deep Learning (DL, 深度學習) 演算法的系統平台。
2.  運用推薦系統/ Text Mining / Geomatics Analysis / 影像辨識演算法，協助公司開發相關應用與整合。
3. 負責模型訓練、框架與參數調整。
4. 與 IT 溝通與協作資料分析系統建立。


Qualifications & Education Requirements
1. 資訊工程 / 電機工程等資訊科學相關領域碩士以上學位。
2. 碩士論文需與資料科學領域相關或曾發表過相關期刊文章。
3. 具備良好的閱讀國際期刊之能力。


Preferred Skills
1. 具備高效率的 Python / C / C++ 等編寫程式實現演算法。
2. 擅長推薦系統 / Geomatics Analysis / 影像辨識 / NLP / Text Mining 至少一種以上的演算法開發。
3. 至少熟悉一種主流 DL 框架 / ML 演算法，包含但不限於 TensorFlow, PyTorch, YOLOv3, Caffe, MXNet, CNTK, Keras, MLlib。
4. 具任一雲端平台 ( AWS / GCP / Azure) 與 Spark / Hadoop / PySpark 專案運算經驗。
5. 能熟練操作 RDBMS, NoSQL。
6. 擅長團隊合作且具獨立解決問題的能力。",1人,2年以上,碩士以上,,英文,聽 /中等、說 /中等、讀 /精通、寫 /精通,Python/hadoop,Machine Learning,1. 主動積極且熱衷資料科學應用，願意學習新，成為公司的資料科學家。 2. 擅長撰寫乾淨且有效率的程式碼。 3. 投遞職缺請一併附上論文、發表之期刊或不限形式之作品集。,6~10人應徵,121.3879686,25.0514981
1a2x6bjh37,5xjc4,機器學習研發工程師,待遇面議,0,0,演算法開發工程師/軟體設計工程師,工作內容：/1. 將深度學習應用於影像辨識/2. 表面瑕疵檢測系統開發/,1~2人,不拘,碩士以上,資訊工程相關/其他數學及電算機科學相關/數理統計相關,英文,聽 /中等、說 /中等、讀 /中等、寫 /中等,Java/Python/R,,其他條件： 1. 熟悉機器學習與深度學習 2. 熟悉影像處理 3. 熟悉資料分析 ,6~10人應徵,120.6233404,24.2167222
1a2x6bi7wq,61rxb,Computer Vision/Machine Learning Researcher 電腦視覺與機器學習研究員,"月薪60,000~140,000元",60000,140000,軟體設計工程師/演算法開發工程師/其他資訊專業人員,"Alfred Camera is a mobile application which turns your old, unused smartphones into home security cameras. Alfred's mission is to provide accessible security for everyone. As the most trusted brand in this area, our apps have achieved more than 20M downloads with Android/iOS combined and manages to acquire exceptional user ratings on both platforms. We are determined to create the product with first-class user experiences together with best performance and stability.
  
  
【 Your role 】
We are currently looking for skilled, experienced and passionate engineers to support and facilitate the productization of computer-vision and deep-learning technologies. If you think you are the right guy, please don't hesitate and join us!
  
【 Your Responsibility 】
In this job, you will be responsible for:
- Participate in the productization activities involves computer vision related technologies
- Develop algorithms to fulfill product requirements
- Debug issues in graphics pipeline and optimize execution performance on devices
- Analyze the data collected to locate potential product issues
- Train/Fine-tune machine learning models to meet productization accuracy/performance requirements
- Build prototypes or proof-of-concepts demos on simulated or mobile environments
- Evaluate new technologies/models/services with productization potentials
- Co-work with other teams to facilitate the adoption of related technologies within the company",1人,2年以上,大學以上,工程學科類/數學及電算機科學學科類,None,None,C/Python,系統整合分析/軟體工程系統開發/網路資料傳輸/信號與系統設計/資料通訊與網路應用/軟體程式設計/網路程式設計,"【 Ideal candidates have 】 - Self-motivated and enthusiastic in deep learning / computer vision technologies - MS or PhD majored in related areas (Computer Science, EE, Mathematics, and Statistics) is highly recommended - Solid Python programming skills in terms of data analysis and machine learning - Familiar with machine learning product development flow, experiences with TensorFlow is highly recommended     【 Nice to have 】 - Programming/Development skills on mobile/web platforms is highly recommended - OpenCV/OpenGL related know-hows is a plus - Experiences working on features with on-device calculation and performance optimization is a plus",11~30人應徵,121.5427093,25.0792018
1a2x6bkk5y,6purq,機器學習與人工智慧研發工程師,待遇面議,0,0,軟體設計工程師/演算法開發工程師,熟悉人工智慧或是機器學習演算法開發。/協助開發機器學習演算法應用。//// /,1~3人,不拘,專科以上,一般數學相關/資訊工程相關,英文,聽 /略懂、說 /略懂、讀 /中等、寫 /略懂,,,  ,0~5人應徵,121.5401282,25.0130898
1a2x6bkygn,6p2d5,後端工程師--機器學習系統整合開發,待遇面議,0,0,軟體設計工程師/軟體相關專案管理師/電腦系統分析師,"【工作內容】
1.	與合作企業內部人員溝通，釐清並識別使用者需求。
2.	團隊合作進行協同開發以及掌握開發時程。
3.	穩健的系統測試與文件撰寫。

【需求條件】
1. 熟悉至少一種Python網頁開發架構，如Django或Flask。
2. 具備建構資料流等工具或介面之經驗與能力。
3. 熟悉Linux系統與關聯式資料庫操作。
4. 具備版本控管(例如 git)的實務經驗。
5. 出色的溝通能力和團隊合作能力。

【加分條件】
1.	具備規劃符合使用者需求之分析服務系統流程與資料流架構經驗",2~3人,1年以上,碩士,,None,None,Linux/Git/Python,,,0~5人應徵,120.9932316,24.7947253
112t1ia8,6zczh,【G】機器學習與電腦視覺工程師(土城),待遇面議,0,0,演算法開發工程師,"1.	深度學習模型資料搜集, 清理, 標記, 訓練, 評估與優化/2.	電腦視覺相關之深度學習演算法開發與整合///",1~2人,不拘,大學、碩士,電機電子工程相關/資訊工程相關,英文,聽 /精通、說 /中等、讀 /精通、寫 /中等,Python,,"1.	具備統計分析, 資料探勘 (Data Mining)等數據分析概念 2.	曾修習機器學習與深度學習, 具有相關的論文或實務經驗者佳        2-1 熟悉常用圖像識別模型 (VGG16, ResNet…等)        2-2熟悉常用物件偵測模型 (R-CNN, YOLO…等)        2-3熟悉Tensorflow, Keras, PyTorch等任一種主流的深度學習框架的使用        2-4熟悉主流的雲端平台(AWS/Azure/GCP)操作者佳 3.	具備影像處理基本知識 4.	具備光學知識者佳  ",11~30人應徵,121.4152051,24.9610649
1a2x6bkirw,6clt9,網頁前端開發工程師 (AI/機器學習平台),"月薪33,000~45,000元",33000,45000,軟體設計工程師/MIS程式設計師/Internet程式設計師,"本公司是由一群曾任職國際軟體大廠與高科技製造業十多年的專家所創立。我們非常熟悉企業營運系統、物聯網應用、以及設備/信息/自動化/工廠管理等相關技術，希望運用過去累積的企業與工廠管理及物聯網應用經驗，搭配自主研發的AI機器學習技術平台，協助企業以合理的成本、快速地導入高價值資訊系統，解決工廠管理問題，提升工廠效能，達到智能化工廠的目標。

我們希望招募數名年輕新血，並不嚴格要求您的工作經驗，只要您技術底子好、頭腦靈活、充滿學習新事物的幹勁，願意接受挑戰且抗壓性高，對於工業物聯網、AI機器學習、軟體生命週期平台等最新技術的工業應用非常有興趣，都歡迎加入我們! 本公司雖是新創企業，但我們的客戶都是兩岸的大型製造業，除了讓您能研究新技術應用之外，還能習得一般人很難有機會深入碰觸的製造業領域知識，我們提供優渥的起薪、光明的未來，誠摯邀請您成為我們的一份子。

本職務主要工作會參與AI機器學習Web-based平台開發工作，基本條件要求:
1. 熟悉HTML5/CSS3/ES6+(Javascript)

具備以下能力尤佳:
1. 使用過下列任一框架 Vue/React/Angular (Vue尤佳)
2. 具備HTTP協議的基礎知識",1~2人,不拘,專科、大學、碩士,,None,None,HTML/JavaScript/CSS/ReactJS/AngularJS/VueJS/HTTP,軟體程式設計/網路程式設計/視覺設計相關知識/使用者介面設計/網頁語法撰寫,面試時請準備能展現自己程式實作或分析能力的作品,11~30人應徵,121.56618400000002,25.0478835
olmlwc8,71krp,Senior Machine Learning  Engineer / Data Engineer (機器學習工程師),"年薪1,000,000元以上",1000000,9999999,演算法開發工程師/軟體設計工程師/電腦系統分析師,"**Job Functions**

- Algorithm Engineer and Distributed System Architectures
- AI / Data Science / Machine Learning Algorithm Optimization
- Build the scalable ML platform to automate ML services.

**Your Impact**

- Participate in cutting edge research in machine intelligence and machine learning platform.
- Partner with product and research teams to identify opportunities for improvement in our current  product line and for enabling upcoming product lines.
- Develop prototypes, then design and carry out experiments to validate and improve the prototypes.
- Develop solutions for real world, large scale problems.
- Bring the ideas to production.

**MoBagel R&D Qualifications**

- Experience building new products that leverage challenging high-performance algorithms.
- Expertise in coding efficient, object-oriented, modularized and quality software.
- Exceptional debugging, testing, and problem-solving skills.
- Knowledge of unit testing, profiling, and code tuning.
- Passion for software development and problem solving.
- High energy, self-starter with aptitude for learning new technologies.
- Be able, and willing, to multi-task and learn, share, and improve technologies quickly. 
- Experience with the Decanter AI or other AutoML software products.
- Ability to drive cross team collaborations and ship production features in a fast-paced startup environment.
- Superior communication skills, both verbal and written.
- Customer/end result driven in design and development

**Key Qualifications**

- Master’s degree or PhD in Computer Science, Statistics and Data Science, Mathematics or a related technical, quantitative field. 
(Candidates with a bachelor’s and significant appropriate experience will also be considered.)
- Expertise with Python, Java/Scala, OOP, Design Patterns, time and space-efficient algorithms
- Experience in commercialize data science product/project  (not including school project)

**Preferred Qualifications**

- Experience architecting in Data Science and Machine Learning with a strong proven track record and significant impact.
- Knowledgeable in area pertaining to prediction such as statistics, machine learning for classification and regression, time series forecasting and reinforcement learning
- Proficiency in the mathematics underlying ML including linear algebra, multivariate statistics, information theory and optimization.
- Significant experience optimizing code to be both compute and memory efficient
- Demonstrated expertise working with one or more of the following: Big Data Infrastructure, Distribute System and Job Queue management, Machine Learning System, Time Series Forecasting, Algorithmic Foundations of Optimization, Data Mining or Machine Intelligence (Artificial Intelligence).
- Contributions to research communities/efforts, including publishing papers in machine learning (ICML,  AAAI).
- Experience motivating others to act by creating a shared sense of vision or purpose, ability to create a compelling vision for the future, communicate clearly, with a collaborative leadership approach.",1~5人,不拘,大學以上,數理統計相關/應用數學相關/資訊工程相關,None,None,Systems Analysis/Github/Java/Python/Go/Scala/Data Modeling,系統架構規劃/系統整合分析/軟體工程系統開發/軟體程式設計/結構化程式設計/模組化系統設計/Machine Learning,,6~10人應徵,121.5665022,25.0475591
